model,accuracy,precision,recall,f1,split
Logistic Regression,0.926595744680851,0.919831223628692,0.9336188436830836,0.926673751328374,validation
Random Forest,0.9234042553191489,0.9265658747300216,0.9186295503211992,0.9225806451612903,validation
Logistic Regression,0.9319872476089267,0.918918918918919,0.9464668094218416,0.9324894514767933,test
